,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
1041,LAL vs. BKN,-6.0,3.8999999999999986,-6.799999999999997,-9.599999999999994,-2.0,-2.0,-11.0,-2.0,3.0,-1.0,4.0
1042,LAC @ OKC,8.0,5.699999999999996,1.8999999999999986,-7.400000000000006,0.0,7.0,0.0,-1.0,-1.0,3.0,-7.0
1043,OKC vs. LAC,-8.0,-5.699999999999996,-1.8999999999999986,7.400000000000006,0.0,-7.0,0.0,1.0,1.0,-3.0,7.0
1044,BKN @ LAL,-17.0,-4.5,4.700000000000003,3.200000000000003,2.0,-5.0,2.0,5.0,0.0,1.0,-3.0
1045,LAC @ OKC,17.0,4.5,-4.700000000000003,-3.200000000000003,-2.0,5.0,-2.0,-5.0,0.0,-1.0,3.0
1046,CHI @ MIA,-18.0,-3.6000000000000014,-3.5,18.200000000000003,-6.0,9.0,0.0,-3.0,2.0,-2.0,-6.0
1047,MIN @ POR,18.0,3.6000000000000014,3.5,-18.200000000000003,6.0,-9.0,0.0,3.0,-2.0,2.0,6.0
1048,HOU @ PHX,3.0,3.8000000000000043,-10.999999999999996,16.700000000000003,1.0,8.0,9.0,-4.0,1.0,6.0,1.0
1049,PHX vs. HOU,-3.0,-3.8000000000000043,10.999999999999996,-16.700000000000003,-1.0,-8.0,-9.0,4.0,-1.0,-6.0,-1.0
1050,MIN @ UTA,17.0,4.400000000000006,34.2,-2.299999999999997,7.0,8.0,14.0,-4.0,-4.0,3.0,-1.0
1051,UTA vs. MIN,-17.0,-4.400000000000006,-34.2,2.299999999999997,-7.0,-8.0,-14.0,4.0,4.0,-3.0,1.0
1052,NYK @ ATL,-9.0,0.5999999999999943,-15.899999999999999,-19.299999999999997,1.0,0.0,3.0,4.0,0.0,0.0,6.0
1053,ATL vs. NYK,9.0,-0.5999999999999943,15.899999999999999,19.299999999999997,-1.0,0.0,-3.0,-4.0,0.0,0.0,-6.0
1054,IND @ MIL,10.0,2.799999999999997,16.700000000000003,6.900000000000006,-5.0,-7.0,-1.0,2.0,3.0,-3.0,-9.0
1055,MIL vs. IND,-10.0,-2.799999999999997,-16.700000000000003,-6.900000000000006,5.0,7.0,1.0,-2.0,-3.0,3.0,9.0
1056,DAL @ DET,11.0,0.10000000000000142,16.599999999999998,10.599999999999994,7.0,4.0,10.0,1.0,0.0,4.0,0.0
1057,DET vs. DAL,-11.0,-0.10000000000000142,-16.599999999999998,-10.599999999999994,-7.0,-4.0,-10.0,-1.0,0.0,-4.0,0.0
1058,IND @ MIL,-11.0,-6.200000000000003,0.0,-0.20000000000000284,-2.0,-7.0,-11.0,2.0,3.0,-2.0,-1.0
1059,MIN @ UTA,11.0,6.200000000000003,0.0,0.20000000000000284,2.0,7.0,11.0,-2.0,-3.0,2.0,1.0
1060,NOP @ WAS,-1.0,-5.399999999999999,24.800000000000004,7.900000000000006,-1.0,-3.0,-3.0,3.0,-4.0,-2.0,7.0
1061,WAS vs. NOP,1.0,5.399999999999999,-24.800000000000004,-7.900000000000006,1.0,3.0,3.0,-3.0,4.0,2.0,-7.0
1062,BKN @ GSW,-7.0,-2.5,-20.5,6.799999999999997,-5.0,-6.0,-15.0,-7.0,-2.0,6.0,-8.0
1063,GSW vs. BKN,7.0,2.5,20.5,-6.799999999999997,5.0,6.0,15.0,7.0,2.0,-6.0,8.0
1064,BOS @ SAC,-7.0,-13.0,-27.0,-19.0,12.0,-8.0,-1.0,2.0,0.0,-3.0,-8.0
1065,SAC vs. BOS,7.0,13.0,27.0,19.0,-12.0,8.0,1.0,-2.0,0.0,3.0,8.0
1066,MEM @ CHA,-3.0,6.399999999999999,-13.3,-11.600000000000009,-2.0,2.0,1.0,2.0,1.0,4.0,6.0
1067,CHA vs. MEM,3.0,-6.399999999999999,13.3,11.600000000000009,2.0,-2.0,-1.0,-2.0,-1.0,-4.0,-6.0
